,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
353,510300.SH,20180630,600309.SH,156124346.16,3437348.0,0.7
354,510300.SH,20180630,600690.SH,147301057.8,7648030.0,0.66
355,510300.SH,20180630,002027.SZ,146928439.68,15353024.0,0.66
356,510300.SH,20180630,600019.SH,145178856.93,18636567.0,0.65
357,510300.SH,20180630,600518.SH,142805611.52,6241504.0,0.64
358,510300.SH,20180630,600028.SH,142610805.7,21973930.0,0.64
359,510300.SH,20180630,600585.SH,140024307.96,4182327.0,0.63
360,510300.SH,20180630,601888.SH,131685343.26,2044486.0,0.59
361,510300.SH,20180630,601229.SH,125743634.32,7978657.0,0.56
362,510300.SH,20180630,601818.SH,121758896.28,33267458.0,0.55
363,510300.SH,20180630,000538.SZ,120029014.56,1122186.0,0.54
364,510300.SH,20180630,601766.SH,117436996.6,15251558.0,0.53
365,510300.SH,20180630,601211.SH,115334471.34,7824591.0,0.52
366,510300.SH,20180630,603288.SH,112537458.04,1528211.0,0.5
367,510300.SH,20180630,600009.SH,112118921.72,2020889.0,0.5
368,510300.SH,20180630,002024.SZ,109605520.64,7784483.0,0.49
369,510300.SH,20180630,601939.SH,105067908.1,16040902.0,0.47
370,510300.SH,20180630,601857.SH,104014199.07,13490817.0,0.47
371,510300.SH,20180630,601688.SH,102326207.46,6835418.0,0.46
372,510300.SH,20180630,601006.SH,102160281.16,12443396.0,0.46
373,510300.SH,20180630,600015.SH,99816813.5,13398230.0,0.45
374,510300.SH,20180630,300059.SZ,99780521.18,7570601.0,0.45
375,510300.SH,20180630,600703.SH,97630507.82,5079631.0,0.44
376,510300.SH,20180630,002008.SZ,96702132.69,1818051.0,0.43
377,510300.SH,20180630,002230.SZ,96649647.63,3013709.0,0.43
378,510300.SH,20180630,601009.SH,96129993.99,12435963.0,0.43
379,510300.SH,20180630,600050.SH,95679481.08,19447049.0,0.43
380,510300.SH,20180630,001979.SZ,94433326.5,4957130.0,0.42
381,510300.SH,20180630,600919.SH,92795717.51,14476711.0,0.42
382,510300.SH,20180630,000568.SZ,92195718.52,1514882.0,0.41
383,510300.SH,20180630,002594.SZ,91362890.24,1916168.0,0.41
384,510300.SH,20180630,002475.SZ,89789645.26,3983569.0,0.4
385,510300.SH,20180630,601390.SH,88487162.37,11845671.0,0.4
386,510300.SH,20180630,000338.SZ,88161080.0,10075552.0,0.4
387,510300.SH,20180630,600196.SH,86998634.36,2101924.0,0.39
388,510300.SH,20180630,002142.SZ,86784176.79,5327451.0,0.39
389,510300.SH,20180630,600031.SH,86720076.3,9667790.0,0.39
390,510300.SH,20180630,601186.SH,82947096.46,9622633.0,0.37
391,510300.SH,20180630,601088.SH,82512796.76,4138054.0,0.37
392,510300.SH,20180630,000776.SZ,82188342.15,6193545.0,0.37
393,510300.SH,20180630,300003.SZ,81259404.8,2215360.0,0.36
394,510300.SH,20180630,002236.SZ,81155465.6,3598912.0,0.36
395,510300.SH,20180630,600741.SH,78572191.64,3312487.0,0.35
396,510300.SH,20180630,601628.SH,78358204.88,3479494.0,0.35
397,510300.SH,20180630,601899.SH,78266940.73,21680593.0,0.35
398,510300.SH,20180630,601989.SH,77069702.36,19076659.0,0.35
399,510300.SH,20180630,600660.SH,74877058.41,2912371.0,0.34
400,510300.SH,20180630,002466.SZ,72912920.85,1470315.0,0.33
